x,y
-6.500011164167199,1.0527284969546313
-2.3974630832667394,-1.505206337587439e-06
-2.3938366265433224,-0.023540470763579766
-2.390136013877265,-0.0470112045775544
-2.386361230140922,-0.07041603884977728
-2.3796255091212193,-0.09364368182831112
-2.375857157638181,-0.11690279775586628
-2.37201382741945,-0.1401058575821152
-2.368095670257123,-0.16325509950267136
-2.361977426513445,-0.18618521610144906
-2.3580576140246055,-0.2092255525366136
-2.354061078528257,-0.23222140426243854
-2.3499862546559807,-0.25517473742547886
-2.3444455234817174,-0.27792314041669397
-2.340356791507205,-0.30080216992439984
-2.3361868595538646,-0.32364734224307007
-2.331116039067036,-0.3463388752446882
-2.32691833084604,-0.36913544457477165
-2.3226350627501926,-0.39190612665969965
-2.3182642126542676,-0.41465245444108517
-2.31366596309427,-0.4373498402368676
-2.3092477154565145,-0.46007702395270805
-2.304735969162411,-0.4827867844496813
-2.300508521214483,-0.5055638589846817
-2.2959306885807576,-0.5282756479040446
-2.2912530761134287,-0.550976214942531
-2.2873441915224544,-0.5738850518967735
-2.282579438154548,-0.5966064399486103
-2.277707628169395,-0.6193218668620976
-2.27406181448552,-0.6424093570207374
-2.2690803195637232,-0.6651620265028678
-2.2639842584477257,-0.687913182813317
-2.260541531350497,-0.7112203561649845
-2.255312381690075,-0.7340228580022898
-2.252039062837454,-0.7575265014442836
-2.2466584152780302,-0.7803895624913666
-2.2411480268092707,-0.803256660086068
-2.2379693848048006,-0.8270384515429415
-2.232281962068419,-0.8499757142471255
-2.2291903581635455,-0.8739908450336582
-2.2233066422934415,-0.8970043336817932
-2.220266624795186,-0.9212649258484867
-2.214166670310637,-0.9443591834259455
-2.2111420696165482,-0.9688750528830457
-2.2048064132419523,-0.9920535475132843
-2.2017610971607002,-1.016832471898618
-2.1951701483009907,-1.0400973501109667
-2.19206831953322,-1.0651451958250868
-2.185202633629357,-1.0884973944733585
-2.1820086885175916,-1.113818054930158
-2.1748483839531856,-1.137256994255948
-2.171526573521314,-1.1628521886614875
-2.168185426996925,-1.1886420867891525
-2.1605694781229854,-1.2122469850062991
-2.1570440106081312,-1.2383114390103191
-2.1534630185105352,-1.2645694991344312
-2.145339325847085,-1.288333716207106
-2.1415194562793234,-1.3148620324884852
-2.1376094150256657,-1.341580447885057
-2.133596654784854,-1.368487431842419
-2.1247275416461737,-1.3924738686612197
-2.120402803234191,-1.419638429389902
-2.1159432091384733,-1.446985196261955
-2.111335802529046,-1.4745107071727916
-2.106569904715058,-1.5022126232654478
-2.1016326155105247,-1.5300866098659238
-2.0965134959496785,-1.5581296389436015
-2.091201453580318,-1.5863378004568232
-2.0856853432123845,-1.61470670582305
-2.0799547297844665,-1.6432320733968693
-2.073999688246228,-1.6719096101171496
-2.0678104272997295,-1.7007347302844955
-2.0613769305117855,-1.7297022523865715
-2.054689521164276,-1.7588068497852107
-2.0477395795522213,-1.788043690706074
-2.0457862789355397,-1.8220993843386464
-2.038287394021978,-1.8516802332773423
-2.030496084190116,-1.8813745788268368
-2.0224057727522706,-1.911177797548616
-2.019284447473061,-1.9461685616544306
-2.0105600880250285,-1.9762594764679775
-2.0068239982326372,-2.0117650506681226
-1.9976788696463086,-2.042373313604484
-1.9942174837345772,-2.0793479420875074
-1.9852500999982974,-2.1111646268965445
-1.9763049516464937,-2.1434996436802582
-1.9737002327160715,-2.183367967598411
-1.9650043341854093,-2.217188488411782
-1.956356302166487,-2.251650071392291
-1.9477637583144143,-2.2867937376659895
-1.9464799844197764,-2.3313412440865044
-1.9382411457774409,-2.368426299431474
-1.9300882530996304,-2.406356546523668
-1.9220302930377688,-2.4451867997140853
-1.9140761537840572,-2.484975173701259
-1.906234192004381,-2.525782748114718
-1.8985142301943005,-2.5676764701688226
-1.890925606411315,-2.610726964858014
-1.883478391811223,-2.6550105170346656
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-5.016722363294746,-8.591400559491376
-4.9153665545188785,-8.61116727000466
-4.798261031741784,-8.60136576179645
-4.68249476741853,-8.591325393471736
-4.582842367469362,-8.608867441607462
-4.469124959947459,-8.598013826415588
-4.356729646799029,-8.587067950481513
-4.2587829029177895,-8.602621017442903
-4.148408073924213,-8.591101359941577
-4.051448137076185,-8.605380570125227
-3.9430682132714048,-8.593432992226642
-3.847090271951786,-8.60652914373965
-3.740672449023269,-8.59429853531425
-3.64566411664802,-8.606295616852021
-3.541168079263835,-8.5939246993979
-3.447114222425457,-8.604910072339166
-3.3444932459680508,-8.59254176577657
-3.2513718980802224,-8.602596317894543
-3.15057081212329,-8.590368122815088
-3.0583572340133345,-8.599575758025864
-2.9664114751202617,-8.608219153274847
-2.8679779029800407,-8.596063329809498
-2.776900278031831,-8.603966327136042
-2.6801289724654818,-8.592265118208148
-2.5898837903228595,-8.599506551586828
-2.4998838288498244,-8.606246332265474
-2.405239966722345,-8.595031631552912
-2.31601826996954,-8.601207803830002
-2.2270261224379184,-8.606918144563535
-2.134347350205801,-8.596411915700731
-2.0460710191711113,-8.601649159835777
-1.9580058776318068,-8.606455431158587
-1.8671113125097591,-8.59685809522189
-1.7796919308599253,-8.601273774797447
-1.6924618363050676,-8.605287524064877
-1.6031553080340675,-8.596783267027194
-1.5164942424444832,-8.60048133287765
-1.4299980531684862,-8.603803260002744
-1.3420690592386317,-8.596557184390958
-1.2560588419952996,-8.599628410741262
-1.1701866363711002,-8.602343972601386
-1.0844465069768252,-8.604710321467849
-0.9979366759717891,-8.599015928972412
-0.9125719586881693,-8.60120136261931
-0.827310209662245,-8.60305372088006
-0.7421447437174429,-8.604576601926865
-0.6566745547171013,-8.600609968879441
-0.5717666593432956,-8.602000724513536
-0.486924466102015,-8.60307550468152
-0.4019963984702342,-8.600745605145566
-0.3173138726871032,-8.601715077917447
-0.23266531317981937,-8.602374416281272
-0.14804349714167175,-8.602725398823713
-0.06343767729682764,-8.602298479284144
0.021149169802743523,-8.602559795238484
0.10574148096441899,-8.602514814134562
0.19034653418583763,-8.602161407196128
0.2750404832223737,-8.603654286392208
0.3597360048288356,-8.603208610365256
0.4444763591686538,-8.602451812683748
0.5292687513693408,-8.601382627256298
0.6144598674776917,-8.604753923487127
0.6994664644914627,-8.60356689942877
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
inf,-inf
3.115269551498984,-9.492438851917399
3.1422891516450266,-9.266233182269108
3.1683741320482874,-9.049590430174115
3.132854121726969,-8.673723765870985
3.158374815484358,-8.482396263962762
3.1270946439878022,-8.152345183890905
3.1520708044677797,-7.981848104645917
3.1244595387473346,-7.6897312609537956
3.148915741120418,-7.536566899279934
3.1727192439813585,-7.38845619667891
3.1484693998173974,-7.137582177774251
3.1718285313702106,-7.003233785625961
3.1503691500802167,-6.777722693698412
3.131281230687973,-6.566942084962885
3.1543142559655357,-6.451192736241337
3.1374516696690526,-6.259961940805322
3.1600494712741716,-6.153253027776403
3.1451781838628423,-5.978889995365421
3.167355556462992,-5.879991470990964
3.1542724199293346,-5.720265745972086
3.142777086277195,-5.569203282483315
3.1645710804939675,-5.481196166020857
3.1545888394854895,-5.341906082917857
3.1458924573447735,-5.209501169219944
3.1384294004998092,-5.083505149116232
3.1597872476129876,-5.00727637909803
3.153428780078087,-4.889993798571916
3.148115961780649,-4.777944359862861
3.1437751225667268,-4.670737205345567
3.164617458844854,-4.603333603230945
3.1611126771215603,-4.50274644277096
3.158437961937404,-4.406164068299846
3.1565358843138167,-4.3133032864449055
3.155353298431614,-4.223904957014963
3.154841271172678,-4.137731999454416
3.154953734489829,-4.054565931812352
3.155648020765791,-3.9742061345782433
3.1568841626431894,-3.896467626610686
3.1586243748266103,-3.8211792750210476
3.16082721239077,-3.7481758606002336
3.1470039409158512,-3.6581832056550727
3.1505816845352568,-3.5903231399191164
3.1545141128060723,-3.5242937290816947
3.1587734974627697,-3.4599809656872202
3.1491348067578113,-3.3820300541552046
3.154406789679592,-3.3215968655236194
3.159917794837436,-3.2625465094136077
3.152938253350399,-3.191930812586025
3.1591915841555336,-3.1359787328183
3.1527756382228147,-3.0686553456378447
3.1580833260727967,-3.013921868664084
3.150547806573383,-2.9480848312347927
3.1547539224763077,-2.8943676656149506
3.158438967817182,-2.8410603688395426
3.1494073571512136,-2.7774014081473477
3.152116733244451,-2.725163780918799
3.1543603353849363,-2.673359254469501
3.1561541825633253,-2.6219936453465107
3.1575155298351816,-2.5710732780679164
3.158462531823499,-2.520604630049123
3.159013135885846,-2.4705934099390983
3.1591841116948354,-2.4210438470242948
3.1589940425615834,-2.3719610435394527
3.15846222766759,-2.323350039934192
3.1576069517625425,-2.275214528534425
3.1564471867668162,-2.227558144318232
3.1550018176840986,-2.180383891163402
3.153291007914696,-2.13369508386792
3.1513338430282007,-2.0874937070910775
3.149149881234937,-2.0417815085977193
3.15786797548804,-2.0036083161411797
3.1551608471955794,-1.958645607407
3.1522806836059187,-1.9141763322039553
3.1600458490677075,-1.8766130619545833
3.1567279777908817,-1.8328989475889286
3.153289563869673,-1.7896776313326548
3.1497519257091344,-1.7469482777531227
3.1563989822872833,-1.7102701603098682
3.152544496322159,-1.668293478428965
3.1586604419347575,-1.6319782072884317
3.1545432524683688,-1.5907501076233936
3.1504142311512666,-1.550003606356104
3.155835120714811,-1.5143127546860575
3.1515305565254037,-1.4743014052126808
3.1565057893847377,-1.4389711665575735
3.152079226429541,-1.3996839783526163
3.156640582175714,-1.3647108112250157
3.1521444820969737,-1.3261338654199963
3.1563240672404236,-1.2915127785017666
3.1518110110038497,-1.2536298174391287
3.1556387650876587,-1.2193533690927107
3.159244434197308,-1.1851780996282175
3.154666719865749,-1.1482048818722577
3.1579620381199827,-1.114363268467663
3.153487317301838,-1.0780348866646117
3.1565011297251475,-1.0445156550691153
3.1521768365074108,-1.0088063236898983
3.1549382177849643,-0.9755969071732685
3.1575137146865107,-0.9424792118834889
3.15334666352944,-0.9075642794665657
3.155705775067089,-0.8747371342506643
3.1578911542725634,-0.841995863246483
3.153963835290791,-0.8078173308958672
3.1559676552094205,-0.7753447050566893
3.1578103589510835,-0.7429513745039023
3.154198765456709,-0.7094446411886414
3.1558905633143945,-0.6772948393654402
3.157431474443507,-0.6452164098261233
3.154205601605775,-0.612311041422839
3.1556251347593656,-0.5804488582215634
3.1569038790243336,-0.5486493917199274
3.1541250085814294,-0.5162691682548589
3.1553064064371275,-0.48465586958283213
3.156355747965825,-0.45309576735541574
3.157274900116038,-0.4215866454077283
3.155050881940503,-0.3897538196103771
3.1558988313285985,-0.3583907805861148
3.1566236280878504,-0.32706829036450563
3.154953885950323,-0.2955709894778643
3.1556242297441774,-0.26436051357605567
3.1561753084316404,-0.2331794319597149
3.1566093026622286,-0.20202529884031284
3.155602504737884,-0.17082382863664136
3.1559956129314957,-0.13973733085012982
3.1562751277963796,-0.10866625170535611
3.156440951156439,-0.07760791266338068
3.156127923257464,-0.04655426428959828
3.1562602516315184,-0.015517967694383204
3.1562800435161837,0.015517377139424427
3.156186816386768,0.04655444501314684
3.156578970720501,0.07761061784474178
3.156452429866393,0.10867166727461378
3.156212630122073,0.13974625049281636
3.155858705298875,0.1708370079013022
3.15694459257449,0.20204606683000018
3.1565500856401756,0.2332064289822786
3.1560384003343405,0.2643945178462092
3.155407819283018,0.2956128224058144
3.15715586172147,0.3271227414405104
3.1564710131023723,0.3584550620417016
3.155661682983604,0.3898285756670448
3.1579650496141665,0.42167809965194536
3.1570855568635006,0.4531998294308607
3.1560754539498737,0.48477329144792575
3.1549330986554383,0.5164007309738232
3.1577914414745276,0.5488029353478961
3.156552414048835,0.5806187117252332
3.155171656677454,0.6124978636158189
3.158477403218083,0.6454294267417027
3.1569753747031424,0.6775269342019005
3.1553219488443647,0.7096965459743582
3.159013400725049,0.7432336926708369
3.157210465377351,0.7756493037931579
3.1552453950131354,0.8081448410401909
3.159253056872869,0.842358253063052
3.1571056346436763,0.8751244235630286
3.154785263678178,0.9079775783109258
3.159033168865189,0.9429320005818979
3.15649596890405,0.976077854590421
3.153772473593328,1.0093162254111547
3.158178368220637,1.0450699053005716
3.1552012127754097,1.0786200221501838
3.159758232276014,1.1149963246601764
3.1564998429286737,1.148871305136486
3.1611593153438378,1.1858956738810562
3.1575911997430985,1.2201070079698546
3.1538009138485723,1.2544205033529356
3.1583948063725518,1.2923592853009254
3.1542529485221924,1.327020106020261
3.1588303972666156,1.3656567171816503
3.1543053950519284,1.400671687826213
3.1588141227456625,1.440022645900003
3.153874871062833,1.4753972492800818
3.158261838352565,1.5154763570638323
3.152875599683253,1.5512137460935123
3.157086912413115,1.5920319429634802
3.1612864831868164,1.6333341254532567
3.155204915381953,1.669700464116553
3.159141658194065,1.7117553672498647
3.1525280295642837,1.7484870910703112
3.1561478599797668,1.791298973417292
3.1596679269672165,1.834605056982781
3.1630683062417813,1.8784070346912916
3.1553346734537118,1.916029881666662
3.1582971404502804,1.9605915869557722
3.161085845336044,2.005649028306729
3.1523985442760614,2.043886834622333
3.1546632203645624,2.089698150479757
3.156701231845524,2.136001631382271
3.158493349834624,2.182795830052376
3.160018663866574,2.230077564449469
3.1612589089568024,2.2778449006420542
3.1621941625922694,2.326094171780815
3.162805776883969,2.3748220430254223
3.1630746438961825,2.4240242660335127
3.162982353809396,2.473696535446015
1.1023039511214434,0.8796910436506586
1.0809210623968937,0.8801622655549234
1.0602010005549556,0.8807678246826571
1.040100888673407,0.8814979305206894
1.0232084337807554,0.8846148705130208
1.0223544520068606,0.9015942128843955
1.0253251787559707,0.9222940457077369
1.024154388373786,0.9396225893827163
1.022814568245465,0.9570852377972178
1.0252993837064566,0.9784956782549615
1.0236017009983072,0.9962901970957927
1.02572316156278,1.0181859924262946
1.0237125190506664,1.0363723758266068
